Indicator,Disaggregation combinations using this value
#5-1-1,12
#5-1-2,12
#5-1-3,12
#5-2-1,1
#5-2-2,11
#5-2-3,11
#5-2-4,1
#5-2-5,11
#5-2-6,12
#5-2-7,1
#5-3-1,1
#5-3-2,12
#5-3-3,1
#5-3-4,1
#5-4-1,12
#5-4-2,12
#5-4-3,12
#5-4-4,1
#5-4-5,11
#5-4-6,12
#5-4-7,12
#6-1-1,1
#6-1-2,1
#6-1-3,1
#6-2-1,1
#6-2-2,1
#6-2-3,1
#6-2-4,2
#6-3-1,1
#6-3-2,1
#6-3-3,1
#7-1-1,1
#7-1-2,10
#7-1-3,1
#7-1-4,1
#8-1-1,1
#9-1-1,11
#9-1-2,12
#9-1-3,12
#9-1-4,12
#9-1-5,11
#9-1-6,11
#9-1-7,11
#9-2-1,1
#9-2-2,12
#9-2-3,1
#9-2-4,1
#9-2-6,1
#9-3-1,1
#9-3-2,1
#9-3-3,1
#9-3-4,1
#9-3-5,1
#9-3-6,1
