Year,지역,Value
2012,0.전국,63815
2013,0.전국,60270
2014,0.전국,61068
2015,0.전국,66155
2016,0.전국,75675
2017,0.전국,86504
2018,0.전국,102127
2019,0.전국,117415
2020,0.전국,101200
2021,0.전국,110279
2022,0.전국,133112
2023,0.전국,151483
2012,1.수도권,29960
2013,1.수도권,29530
2014,1.수도권,30839
2015,1.수도권,34435
2016,1.수도권,40394
2017,1.수도권,47329
2018,1.수도권,55849
2019,1.수도권,63798
2020,1.수도권,54406
2021,1.수도권,58579
2022,1.수도권,74961
2023,1.수도권,84475
2012,2.충청권,10870
2013,2.충청권,9570
2014,2.충청권,9057
2015,2.충청권,9828
2016,2.충청권,11044
2017,2.충청권,12021
2018,2.충청권,13631
2019,2.충청권,15588
2020,2.충청권,12814
2021,2.충청권,13686
2022,2.충청권,16729
2023,2.충청권,19910
2012,3.호남권,6860
2013,3.호남권,6130
2014,3.호남권,6048
2015,3.호남권,6095
2016,3.호남권,6667
2017,3.호남권,7698
2018,3.호남권,9212
2019,3.호남권,11139
2020,3.호남권,10753
2021,3.호남권,12022
2022,3.호남권,12798
2023,3.호남권,14364
2012,4.대경권,6349
2013,4.대경권,5794
2014,4.대경권,5694
2015,4.대경권,5927
2016,4.대경권,6485
2017,4.대경권,7063
2018,4.대경권,8169
2019,4.대경권,9563
2020,4.대경권,8531
2021,4.대경권,10557
2022,4.대경권,11246
2023,4.대경권,12919
2012,5.동남권,7347
2013,5.동남권,6985
2014,5.동남권,7115
2015,5.동남권,7552
2016,5.동남권,8493
2017,5.동남권,9300
2018,5.동남권,11403
2019,5.동남권,12728
2020,5.동남권,10649
2021,5.동남권,11450
2022,5.동남권,12948
2023,5.동남권,14730
2012,6.강원권,1725
2013,6.강원권,1591
2014,6.강원권,1567
2015,6.강원권,1494
2016,6.강원권,1699
2017,6.강원권,2072
2018,6.강원권,2432
2019,6.강원권,2848
2020,6.강원권,2530
2021,6.강원권,2538
2022,6.강원권,3193
2023,6.강원권,4061
2012,7.제주권,704
2013,7.제주권,670
2014,7.제주권,748
2015,7.제주권,824
2016,7.제주권,893
2017,7.제주권,1021
2018,7.제주권,1431
2019,7.제주권,1751
2020,7.제주권,1517
2021,7.제주권,1447
2022,7.제주권,1237
2023,7.제주권,1024
